"Numero do Processo de Compra";"Procedimento de Contratacao";Objeto;"Situacao do Processo";"Ogao Demandante";"Valor de Referencia";"Valor Homologado";Economias
"0516013 000122/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"RP 219/2018.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";4.866,25;4.866,25;0,00
"1259970 000001/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"VACINAS CONTRA GRIPE PARA ATENDIMENTO DO NAIS/15ª RPM.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";21.968,00;21.968,00;0,00
"0513007 000173/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";7.692,20;7.692,20;0,00
"0521009 000058/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"

                               MEDICAMENTOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";784,08;784,08;0,00
"0507011 000062/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";123,00;123,00;0,00
"0516013 000119/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"RP 146/2018.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";502,07;502,07;0,00
"1191002 000006/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE 100 KG DE CAFÉ TORRADO E MOIDO , ESPECIE ARABICA, ORIGEM UNICA OU BLENDADOS, PADRAO DE QUALIDADE GLOBAL ENTRE 7,3 E 10 PONTOS, BEBIDA MOLE OU DURA, AROMA INTENSO , SISTEMA AGTRON";Concluído;"SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS";1.859,94;1.680,00;179,94
"1191105 000001/2019";"DISPENSA DE LICITACAO - POR VALOR";"Manutenção corretiva e preventiva em 02 aparelhos de ar condicionado de 30.000 BTUs, com colocação de peças, na AF/Almenara.";Concluído;"SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS";600,00;530,00;70,00
"1259974 000014/2019";PREGAO;"Contratação de de empresa para prestar serviços de conservacao, limpeza e higienizacao no prédio sede da 19ª Região de Polícia Militar e 25º Batalhão de Polícia Militar .";Concluído;"POLICIA MILITAR DE MINAS GERAIS";0,00;0,00;0,00
"2012008 000622/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"SISTEMA FECHADO DE ASPIRAÇAO TRAQUEAL";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";202,00;202,00;0,00
"1401608 000001/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de 20 conjuntos de medalhas, Dom
Pedro II, conforme especificações do TERMO DE REFERÊNCIA.";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";13.500,00;13.499,80;0,20
"0507011 000117/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";3.877,15;3.877,15;0,00
"0520009 000161/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS.;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";831,96;796,30;35,66
"1250084 000018/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE 04 PEIE, CONFORME MEMORANDO 198.7/19-DAL DE 17/05/19. REFERENTE AO CONVÊNIO PMMG X CEASA, COM DESTINAÇÃO AO 18º BPM. 
CONVENIO: SIGCON 505.4/2018  E SIAF 9197456";Concluído;"POLICIA MILITAR DE MINAS GERAIS";21.413,84;21.413,84;0,00
"0501044 000237/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS ALOPÁTICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";3.700,00;3.700,00;0,00
"1321048 000019/2019";"DISPENSA DE LICITACAO - POR VALOR";"Materiais elétricos para atender esta Regional.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";1.755,39;1.206,00;549,39
"1091040 000011/2019";PREGAO;"Contratação de empresa especializada para implantar solução de telefonia IP com manutenção preventiva e corretiva de todo o ambiente de telefonia da Procuradoria Geral de Justiça-PGJ";Concluído;"PROCURADORIA GERAL DE JUSTICA";556.730,89;189.990,00;366.740,89
"0520009 000218/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS ALOPÁTICOS.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";415,00;415,00;0,00
"0520009 000224/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Equipamentos de Proteção Individual";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";97,60;97,60;0,00
"1321026 000038/2019";"DISPENSA DE LICITACAO - POR VALOR";"PASTA PLÁSTICA EM L";Concluído;"SECRETARIA DE ESTADO DA SAUDE";105,00;90,00;15,00
"0516013 000407/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL LABORATÓRIO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";16.935,20;16.935,20;0,00
"0500005 000019/2019";PREGAO;"REFEIÇÃO PARA AS UNIDADES";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";28.502.885,29;21.530.417,04;6.972.468,25
"0501044 000016/2019";PREGAO;"ACESSÓRIOS PARA EQUIPAMENTOS MÉDICOS HOSPITALARES";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";510.814,20;103.608,42;407.205,78
"0519031 000114/2019";"DISPENSA DE LICITACAO - POR VALOR";"GÁS REFRIGERANTE PARA HRJP";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";5.882,08;0,00;5.882,08
"0512010 000218/2019";"DISPENSA DE LICITACAO - POR VALOR";"TECIDOS
";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.268,00;0,00;2.268,00
"0510037 000363/2019";"DISPENSA DE LICITACAO - POR VALOR";Vasopressina;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";5.340,40;0,00;5.340,40
"1320045 000006/2019";PREGAO;"kit para amplificação de DNA";Concluído;"SECRETARIA DE ESTADO DA SAUDE";81.900,00;81.900,00;0,00
"1511189 000132/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Aquisição de detectores de metais portáteis para atender ao convênio 853897/2017.";Concluído;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";558,42;558,42;0,00
"0512010 000259/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"LEVOFLOXACINO - PRINCIPIO ATIVO: LEVOFLOXACINO HEMI-HIDRATADO; CONCENTRACAO/DOSAGEM: 5 MG/ML";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";5.734,80;5.734,80;0,00
"2311076 000285/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR
RP 256 2018
PLAN 191 2018";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";78.490,40;78.490,40;0,00
"0519031 000120/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE HORAS MAQUINAS DO TIPO PÁ CARREGADEIRA PARA ATENDER DEMANDA DO HRJP";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";0,00;0,00;0,00
"2101028 000001/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Açúcar cristal.";Concluído;"INSTITUTO ESTADUAL DE FLORESTAS-IEF";1.798,00;1.798,00;0,00
"0519031 000090/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISICAO DE MATERIAL MEDICO PARA ATENDER O HRJP";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";309.325,26;309.325,26;0,00
"2012008 000390/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"SENSOR P/ EQUIPAMENTO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";11.505,78;11.505,78;0,00
"1511189 000012/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE ANTISSÉPTICOS E SANEANTES ATRAVÉS DO RP Nº 269/2018. SEI Nº 1510.01.0044264/2019-96.";Concluído;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";193,60;193,60;0,00
"2181003 000015/2019";PREGAO;"Prestação de serviços continuados de manutenção preventiva e corretiva, com reposição de peças CHILLER, bem como instalação de central de ar condicionado.";Concluído;"FUNDACAO CLOVIS SALGADO";347.530,11;291.650,00;55.880,11
"1441003 000052/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação de serviço de locação de gerador de energia elétrica a diesel de 180KVA, incluindo transporte, instalação, combustível, operação e desinstalação.";Concluído;"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";3.515,00;3.350,00;165,00
"2012008 000308/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"FILTRO PARA SISTEMA RESPIRATORIO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";6.275,00;6.275,00;0,00
"0510037 000132/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";EXAMES;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";6.576,41;6.576,41;0,00
"0503007 000086/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"HIPOCLORITO DE SÓDIO, PARA  SUPRIR DEMANDA HIJPII.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";10.500,00;10.500,00;0,00
"2012008 000346/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"ACIDO ACETILSALICILICO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";170,00;170,00;0,00
"1451044 000062/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"INSTRUMENTOS DE MENOR POTENCIAL OFENSIVO / MENOS LETAIS";Concluído;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLIC";405.000,00;405.000,00;0,00
"0512010 000095/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"LEITE INTEGRAL;
LEITE DESNATADO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";15.372,00;15.640,00;-268,00
"1031018 000108/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Escaneres de Mesa - ARP 267/2018.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";2.452.160,00;2.452.160,00;0,00
"0509025 000031/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL DE LABORATORIO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";14.003,90;14.003,90;0,00
"1321151 000004/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Papel para escritório";Concluído;"SECRETARIA DE ESTADO DA SAUDE";9.982,00;9.982,00;0,00
"1691001 000015/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"PASSAGENS AÉREAS E RODOVIÁRIAS";Concluído;"SESP - INATIVO.";457.632,00;457.632,00;0,00
"2012008 000154/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"TUBO ENDOTRAQUEAL E OUTROS.";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.242,50;1.242,50;0,00
"3051002 000020/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAIS DE ESCRITÓRIO PARA ATENDER TODA  EPAMIG, ATRAVÉS DE ATA DE REGISTRO DE PREÇO 188/2018";Concluído;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";4.708,00;4.708,00;0,00
"1259973 000003/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação da prestação de serviço de coleta, transporte e destinação final de resíduos sólidos dos grupos A, B e E.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";1.813,90;1.813,90;0,00
"2012008 000204/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"APLICAÇÃO P/ TUBO ENDOTRAQUEAL";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";460,80;460,80;0,00
"2012008 000200/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"FORMULA OU ASSOCIAÇÃO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";688,80;688,80;0,00
"2012008 000187/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"FIOS DE SUTURA USO MEDICO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.021,20;1.021,20;0,00
"0519031 000054/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISICAO DE MEDICAMENTOS PARA ATENDER O HRJP";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";382,76;382,76;0,00
"0501044 000063/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"EQUIPAMENTO MÉDICO HOSPITALAR";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.736,00;2.736,00;0,00
"0508022 000037/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Abastecimento de suco na Unidade";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.150,48;2.150,48;0,00
"1321500 000032/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Execução da ata mes 67/2018

MEDICAMENTO: LUCENTISQUANTIDADE/OLHO: 1 EM OLHO ESQUERDOPERIODICIDADE: A CADA 30 DIAS POR 3 MESES
";Concluído;"SECRETARIA DE ESTADO DA SAUDE";220,00;220,00;0,00
"0518005 000061/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE ITENS DA FÁRMACIA PARA REPOSIÇÃO DO ALMOXARIFADO.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";8.097,04;7.931,12;165,92
"0518005 000051/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação de empresa especializada para Instalação de Unidade para Hemodiálise, marca B.Braun, modelo Dialog+, patrimônio: 21887160, pertencente ao Hospital Regional Antônio Dias/FHEMIG.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";887,50;887,50;0,00
"0517048 000043/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Filtro Solar.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";320,00;320,00;0,00
"0513007 000228/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Material Médico e Hospitalar";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";512,00;512,00;0,00
"0507011 000088/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";4.737,50;4.737,50;0,00
"1031018 000053/2019";CONCORRENCIA;"Obra de construção do novo prédio do Fórum da Comarca de Cláudio.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";10.115.604,35;7.322.775,69;2.792.828,66
"0513007 000244/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";144,80;144,80;0,00
"1031018 000248/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação de empresa de engenharia especializada em pavimentação asfáltica para recapeamento de parte do estacionamento do Edifício Sede do TJMG.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";32.550,00;32.497,50;52,50
"0505022 000009/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Água Mineral";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";7.394,26;11.880,00;-4.485,74
"0503007 000065/2019";"DISPENSA DE LICITACAO - POR VALOR";"PRESTAÇÃO DE SERVIÇO DE EXAME DE POLISSONOGRAFIA, EM CARÁTER DE URGÊNCIA.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";0,00;0,00;0,00
"0510037 000148/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";67.004,76;67.004,76;0,00
"1371052 000008/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO VIA RP 56/2019 PARA REPOSIÇÃO ESTOQUES DA SUPRAM TMAP.";Concluído;"SECRETARIA ESTADO DE MEIO AMB.DESENV SUSTENTAVEL";144,00;144,00;0,00
"1541003 000012/2019";INEXIGIBILIDADE;"prestação de Serviços Técnicos Educacionais na função de Docente no curso de Qualificação para Conselheiras e Conselheiros Municipais de Saúde do Estado de Minas Gerais, na região NORTE,";Concluído;"ESCOLA DE SAUDE PUBLICA DE MINAS GERAIS";4.500,00;4.500,00;0,00
"2181003 000021/2019";"DISPENSA DE LICITACAO - POR VALOR";"	

COMPENSADO - TIPO DA MADEIRA: VIROLA; DIMENSOES: 220CM X 160CM X 15MM; TIPO: LAMINADO PRIMEIRA QUALIDADE; IPÊ CHAMPANHE";Concluído;"FUNDACAO CLOVIS SALGADO";1.268,00;1.267,96;0,04
"2012008 000397/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";METRONIDAZOL;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";2.768,00;2.768,00;0,00
"1091040 000014/2019";PREGAO;"Aquisição de instrumentos para coleta de dados em campo e equipamentos de proteção individual";Concluído;"PROCURADORIA GERAL DE JUSTICA";24.165,78;19.458,00;4.707,78
"0516013 000257/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"RP 227/2018.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";14.114,86;14.114,86;0,00
"1021007 000124/2019";"DISPENSA DE LICITACAO - POR VALOR";"manutenção e conserto de dois esfigmomanômetros de “braçadeira” – patrimônios 0112-0108 e 0112-0001 e  manutenção e regulagem de uma balança mecânica – patrimônio 0112-0013.";Concluído;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";540,00;400,00;140,00
"1031018 000303/2019";"DISPENSA DE LICITACAO - POR VALOR";"aquisição de 3 (três ) mesas e 12 (doze) cadeiras de plástico para acomodação dos servidores que atuam no Projeto Pontualidade quando da utilização das dependências da cozinha/copa na UnRaja Gab";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";549,00;523,56;25,44
"0516013 000262/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"RP 237/2018 - MATERIAIS DE LABORATÓRIO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";259,68;259,68;0,00
"1250084 000015/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Munição de elastômero e cartucho de PEIE.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";5.129,10;5.129,10;0,00
"1231021 000014/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Fornecimento de combustível, a realização das manutenções dos equipamentos dos postos e o tratamento de resíduos desses locais (provenientes da manutenção) para abastecimento da frota de veículos";Concluído;"SECRET. DE ESTADO DE AGRICULTURA, PECUARIA E ABAST";72.452,00;72.452,00;0,00
"2301711 000001/2019";"DISPENSA DE LICITACAO - POR VALOR";"Porta de vidro de correr - medidas: 195cmx210cm, com duas folhas, correndo atrás da parede, vidro temperado incolor de 08 mm, fechaduras e travamento, alumínio branco - entregar porta instalada.";Concluído;"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM";1.105,76;0,00;1.105,76
"1011014 000046/2019";PREGAO;"material de expediente e higiene e saúde";Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";39.531,81;37.116,60;2.415,21
"2012008 000611/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"ENXERTO ARTERIAL";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.800,00;1.800,00;0,00
"0507011 000113/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTO;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";159,80;159,80;0,00
"1321075 000028/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"ATA de registro de preços 249/2018 Recurso Federal
Processo SEI 1320.01.0038724/2019-19";Concluído;"SECRETARIA DE ESTADO DA SAUDE";1.344,00;1.344,00;0,00
"0521009 000125/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"LEITE UHT";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";8.880,00;8.880,00;0,00
"0501044 000229/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.096,00;1.096,00;0,00
"0501044 000227/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"EQUIPAMENTO MÉDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";3.300,00;3.300,00;0,00
"1254266 000019/2019";"RECADASTRAMENTO DE PROCESSOS";"Contratação de Seguro Aeronáutico";Concluído;"POLICIA MILITAR DE MINAS GERAIS";1.214.109,45;1.214.109,45;0,00
"2012008 000661/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"LAMINA P/ BISTURI";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.245,50;1.245,50;0,00
"0521009 000186/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";3.168,05;3.168,05;0,00
"0509025 000228/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";medicamentos;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";30.721,30;30.721,30;0,00
"1011014 000114/2019";"DISPENSA DE LICITACAO - POR VALOR";"Púlpito em acrílico cristal";Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";3.300,00;3.038,00;262,00
"2012008 000886/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";PREDNISONA;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";968,50;968,50;0,00
"0506007 000055/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Medicamentos LEVOMEPROMAZINA,100 MG, COMPRIMIDO; NALTREXONA,  50 MG, COMPRIMIDO; RISPERIDONA,  2 MG, COMPRIMIDO E OLANZAPINA, 10 MG, COMPRIMIDO.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.903,96;1.903,96;0,00
"1251855 000003/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de vacinas contra a gripe para atender demanda da 6ª RPM, através do RP nº 312/2018.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";60.412,00;60.412,00;0,00
"0520009 000080/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.874,00;1.874,00;0,00
"1259967 000011/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CAMPANHA DE VACINAÇÃO 37º BPM - Av. Ten Cel Hermenegildo Magalhaes, 100. Bairro: Jardim Natalia. ARAXÁ  CEP 38181431


";Concluído;"POLICIA MILITAR DE MINAS GERAIS";19.222,00;19.222,00;0,00
"2261032 000067/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR - DRENOS E COLETORES.";Concluído;"FUNDACAO EZEQUIEL DIAS";249,00;249,00;0,00
"1321031 000006/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"material de escritório";Concluído;"SECRETARIA DE ESTADO DA SAUDE";28,50;28,50;0,00
"0501044 000384/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS ALOPÁTICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";18.480,30;18.480,30;0,00
"2012008 000945/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";CURATIVO;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";3.250,00;3.250,00;0,00
"2012008 000123/2019";PREGAO;"Contratação de empresa especializada para fornecimento de materiais médico hospitalares do tipo Substituto Ósseo necessários à realização de procedimentos da Clínica de Bucomaxilo Facial";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";99.000,00;0,00;99.000,00
"0521009 000201/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"PRODUTOS QUÍMICOS (3012 E 3013)";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.469,00;2.469,00;0,00
"2012008 000959/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"BARREIRA PROTETORA OSTOMIA";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";431,70;431,70;0,00
"2012008 000964/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"FORMULA OU ASSOCIACAO MANIPULADA E OUTROS.";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";15.128,00;15.128,00;0,00
"2311076 000256/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS

RP 241-2018

PLANEJAMENTO 121-2018";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";10.176,00;10.176,00;0,00
"1321129 000130/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Execução da Ata 270/2018
Processo SEI 1320.01.0088104/2019-24";Concluído;"SECRETARIA DE ESTADO DA SAUDE";1.740,00;1.740,00;0,00
"1401269 000053/2019";PREGAO;"Contração de empresas especializadas na prestação de serviços de manutenção preventiva e corretiva das viaturas da frota do 10º BBM e 5ª CIA IND BM, conforme EDITAL.";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";328.000,00;313.000,00;15.000,00
"1257202 000012/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição conforme TERMO DE REFERÊNCIA, solicitar junto ao telefone (31) 3078-6371 ou email esint.sofi@reint.mg.gov.br";Concluído;"POLICIA MILITAR DE MINAS GERAIS";8.464,26;6.383,70;2.080,56
"1261004 000013/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Material de Limpeza e Conservação.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";616,51;616,51;0,00
"1321075 000040/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Processo SEI 1320.01.0065265/2019-48
ATA de registro de preços 270/2018 Recurso Federal
ATA de registro de preços 270/2018 Recurso Estadual";Concluído;"SECRETARIA DE ESTADO DA SAUDE";849.526,96;849.526,96;0,00
"1671002 000002/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Serviços especializado para gerenciamento do abastecimento da frota de veículos da Secretaria de Estado de Esportes, por meio da implantação, manutenção e administração de um sistema informatizado.";Concluído;"SEESP - INATIVO.";5.400,00;5.400,00;0,00
